講師名（英語）,専門科,所属,レクチャータイトル（英語）,配信用動画タイトル,パスコード,Vimeo動画のlink
Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",My journey to obtaining a surgical residency overseas,[外傷外科] Sho Furuta - My journey to obtaining a surgical residency overseas (2025.10.15),862904,https://vimeo.com/1154206231
Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",Trauma unique to Hawaii,[外傷外科] Sho Furuta - Trauma unique to Hawaii (2025.10.16),280060,https://vimeo.com/1154206359
Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",Current status and future of Acute Care Surgery,[外傷外科] Sho Furuta - Current status and future of Acute Care Surgery (2025.10.17),280060,https://vimeo.com/1154206532
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Overview of University of Hawaii Sponsored Graduate Medical Education Programs,[消化器内科] Dr.Scotto K. Kuwada - Overview of University of Hawaii Sponsored Graduate Medical Education Programs (2025.10.20),384091,https://vimeo.com/1154206748
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Evening Lecture @ Nanbu Medical Center,[消化器内科] Dr.Scotto K. Kuwada - Evening Lecture @ Nanbu Medical Center (2025.10.20),643918,
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Career Pathways for GI Board Certification and Training System in the U.S.,[消化器内科] Dr.Scotto K. Kuwada - Career Pathways for GI Board Certification and Training System in the U.S. (2025.10.21),384091,https://vimeo.com/1154206903
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",GI Emergencies Lecture,[消化器内科] Dr.Scotto K. Kuwada - GI Emergencies Lecture (2025.10.21),451715,https://vimeo.com/1154207057
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Ethnic Trends in Early Onset Colorectal Cancer,[消化器内科] Dr.Scotto K. Kuwada - Ethnic Trends in Early Onset Colorectal Cancer (2025.10.22),384091,https://vimeo.com/1154207243
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Inflammatory Bowel Disease,[消化器内科] Dr.Scotto K. Kuwada - Inflammatory Bowel Disease (2025.10.22),451715,https://vimeo.com/1154207360
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Morning Report,[消化器内科] Dr.Scotto K. Kuwada - Morning Report (2025.10.23),384091,https://vimeo.com/1154207516
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",Gastrointestinal Cancer Screening Practices in the U.S.,[消化器内科] Dr.Scotto K. Kuwada - Gastrointestinal Cancer Screening Practices in the U.S. (2025.10.24),384091,https://vimeo.com/1154207680
Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",The Fatty Liver Disease Epidemic,[消化器内科] Dr.Scotto K. Kuwada - The Fatty Liver Disease Epidemic (2025.10.24),451715,
Dr.Ran Goldman,小児科,University of British Columbia,Methodology and why Research is Important,[小児科] Dr.Ran Goldman - Methodology and why Research is Important (2025.11.17),651490,https://vimeo.com/1176802535
Dr.Ran Goldman,小児科,University of British Columbia,Conducting medical Literature for Research,[小児科] Dr.Ran Goldman - Conducting medical Literature for Research (2025.11.18),651490,https://vimeo.com/1176802873
Dr.Ran Goldman,小児科,University of British Columbia,The Art of Writing Case Reports,[小児科] Dr.Ran Goldman - The Art of Writing Case Reports (2025.11.19),651490,https://vimeo.com/1176803056
Dr.Ran Goldman,小児科,University of British Columbia,Lecture at Nanbu Medical Center (Pediatric Center),[小児科] Dr.Ran Goldman - Lecture at Nanbu Medical Center (Pediatric Center) (2025.11.19),907521,
